X,Y,Z
-40.0,-19.398969044771427,0.0
-38.400000000000006,-16.627687752661224,0.0
-36.800000000000004,-13.856406460551018,0.0
-35.2,-11.085125168440815,0.0
-33.6,-8.313843876330612,0.0
-32.0,-5.542562584220407,0.0
-30.400000000000002,-2.7712812921102037,0.0
-28.8,0.0,0.0
-27.200000000000003,2.7712812921102037,0.0
-25.6,5.542562584220407,0.0
-24.0,8.313843876330612,0.0
-22.400000000000002,11.085125168440815,0.0
-20.8,13.856406460551018,0.0
-19.200000000000003,16.627687752661224,0.0
-17.6,19.398969044771427,0.0
-16.0,22.17025033688163,0.0
-14.4,24.941531628991832,0.0
-12.8,27.712812921102035,0.0
-11.200000000000001,30.48409421321224,0.0
-9.600000000000001,33.25537550532245,0.0
-8.0,36.02665679743265,0.0
-6.4,38.79793808954285,0.0
-4.800000000000001,41.569219381653056,0.0
-3.2,44.34050067376326,0.0
-38.400000000000006,-22.17025033688163,0.0
-36.800000000000004,-19.398969044771427,0.0
-35.2,-16.627687752661224,0.0
-33.6,-13.856406460551018,0.0
-32.0,-11.085125168440815,0.0
-30.400000000000002,-8.313843876330612,0.0
-28.8,-5.542562584220407,0.0
-27.200000000000003,-2.7712812921102037,0.0
-25.6,0.0,0.0
-24.0,2.7712812921102037,0.0
-22.400000000000002,5.542562584220407,0.0
-20.8,8.313843876330612,0.0
-19.200000000000003,11.085125168440815,0.0
-17.6,13.856406460551018,0.0
-16.0,16.627687752661224,0.0
-14.4,19.398969044771427,0.0
-12.8,22.17025033688163,0.0
-11.200000000000001,24.941531628991832,0.0
-9.600000000000001,27.712812921102035,0.0
-8.0,30.48409421321224,0.0
-6.4,33.25537550532245,0.0
-4.800000000000001,36.02665679743265,0.0
-3.2,38.79793808954285,0.0
-1.6,41.569219381653056,0.0
0.0,44.34050067376326,0.0
-36.800000000000004,-24.941531628991832,0.0
-35.2,-22.17025033688163,0.0
-33.6,-19.398969044771427,0.0
-32.0,-16.627687752661224,0.0
-30.400000000000002,-13.856406460551018,0.0
-28.8,-11.085125168440815,0.0
-27.200000000000003,-8.313843876330612,0.0
-25.6,-5.542562584220407,0.0
-24.0,-2.7712812921102037,0.0
-22.400000000000002,0.0,0.0
-20.8,2.7712812921102037,0.0
-19.200000000000003,5.542562584220407,0.0
-17.6,8.313843876330612,0.0
-16.0,11.085125168440815,0.0
-14.4,13.856406460551018,0.0
-12.8,16.627687752661224,0.0
-11.200000000000001,19.398969044771427,0.0
-9.600000000000001,22.17025033688163,0.0
-8.0,24.941531628991832,0.0
-6.4,27.712812921102035,0.0
-4.800000000000001,30.48409421321224,0.0
-3.2,33.25537550532245,0.0
-1.6,36.02665679743265,0.0
0.0,38.79793808954285,0.0
1.6,41.569219381653056,0.0
3.2,44.34050067376326,0.0
-35.2,-27.712812921102035,0.0
-33.6,-24.941531628991832,0.0
-32.0,-22.17025033688163,0.0
-30.400000000000002,-19.398969044771427,0.0
-28.8,-16.627687752661224,0.0
-27.200000000000003,-13.856406460551018,0.0
-25.6,-11.085125168440815,0.0
-24.0,-8.313843876330612,0.0
-22.400000000000002,-5.542562584220407,0.0
-20.8,-2.7712812921102037,0.0
-19.200000000000003,0.0,0.0
-17.6,2.7712812921102037,0.0
-16.0,5.542562584220407,0.0
-14.4,8.313843876330612,0.0
-12.8,11.085125168440815,0.0
-11.200000000000001,13.856406460551018,0.0
-9.600000000000001,16.627687752661224,0.0
-8.0,19.398969044771427,0.0
-6.4,22.17025033688163,0.0
-4.800000000000001,24.941531628991832,0.0
-3.2,27.712812921102035,0.0
-1.6,30.48409421321224,0.0
0.0,33.25537550532245,0.0
1.6,36.02665679743265,0.0
3.2,38.79793808954285,0.0
4.800000000000001,41.569219381653056,0.0
6.4,44.34050067376326,0.0
-33.6,-30.48409421321224,0.0
-32.0,-27.712812921102035,0.0
-30.400000000000002,-24.941531628991832,0.0
-28.8,-22.17025033688163,0.0
-27.200000000000003,-19.398969044771427,0.0
-25.6,-16.627687752661224,0.0
-24.0,-13.856406460551018,0.0
-22.400000000000002,-11.085125168440815,0.0
-20.8,-8.313843876330612,0.0
-19.200000000000003,-5.542562584220407,0.0
-17.6,-2.7712812921102037,0.0
-16.0,0.0,0.0
-14.4,2.7712812921102037,0.0
-12.8,5.542562584220407,0.0
-11.200000000000001,8.313843876330612,0.0
-9.600000000000001,11.085125168440815,0.0
-8.0,13.856406460551018,0.0
-6.4,16.627687752661224,0.0
-4.800000000000001,19.398969044771427,0.0
-3.2,22.17025033688163,0.0
-1.6,24.941531628991832,0.0
0.0,27.712812921102035,0.0
1.6,30.48409421321224,0.0
3.2,33.25537550532245,0.0
4.800000000000001,36.02665679743265,0.0
6.4,38.79793808954285,0.0
8.0,41.569219381653056,0.0
9.600000000000001,44.34050067376326,0.0
-32.0,-33.25537550532245,0.0
-30.400000000000002,-30.48409421321224,0.0
-28.8,-27.712812921102035,0.0
-27.200000000000003,-24.941531628991832,0.0
-25.6,-22.17025033688163,0.0
-24.0,-19.398969044771427,0.0
-22.400000000000002,-16.627687752661224,0.0
-20.8,-13.856406460551018,0.0
-19.200000000000003,-11.085125168440815,0.0
-17.6,-8.313843876330612,0.0
-16.0,-5.542562584220407,0.0
-14.4,-2.7712812921102037,0.0
-12.8,0.0,0.0
-11.200000000000001,2.7712812921102037,0.0
-9.600000000000001,5.542562584220407,0.0
-8.0,8.313843876330612,0.0
-6.4,11.085125168440815,0.0
-4.800000000000001,13.856406460551018,0.0
-3.2,16.627687752661224,0.0
-1.6,19.398969044771427,0.0
0.0,22.17025033688163,0.0
1.6,24.941531628991832,0.0
3.2,27.712812921102035,0.0
4.800000000000001,30.48409421321224,0.0
6.4,33.25537550532245,0.0
8.0,36.02665679743265,0.0
9.600000000000001,38.79793808954285,0.0
11.200000000000001,41.569219381653056,0.0
12.8,44.34050067376326,0.0
-30.400000000000002,-36.02665679743265,0.0
-28.8,-33.25537550532245,0.0
-27.200000000000003,-30.48409421321224,0.0
-25.6,-27.712812921102035,0.0
-24.0,-24.941531628991832,0.0
-22.400000000000002,-22.17025033688163,0.0
-20.8,-19.398969044771427,0.0
-19.200000000000003,-16.627687752661224,0.0
-17.6,-13.856406460551018,0.0
-16.0,-11.085125168440815,0.0
-14.4,-8.313843876330612,0.0
-12.8,-5.542562584220407,0.0
-11.200000000000001,-2.7712812921102037,0.0
-9.600000000000001,0.0,0.0
-8.0,2.7712812921102037,0.0
-6.4,5.542562584220407,0.0
-4.800000000000001,8.313843876330612,0.0
-3.2,11.085125168440815,0.0
-1.6,13.856406460551018,0.0
0.0,16.627687752661224,0.0
1.6,19.398969044771427,0.0
3.2,22.17025033688163,0.0
4.800000000000001,24.941531628991832,0.0
6.4,27.712812921102035,0.0
8.0,30.48409421321224,0.0
9.600000000000001,33.25537550532245,0.0
11.200000000000001,36.02665679743265,0.0
12.8,38.79793808954285,0.0
14.4,41.569219381653056,0.0
16.0,44.34050067376326,0.0
-28.8,-38.79793808954285,0.0
-27.200000000000003,-36.02665679743265,0.0
-25.6,-33.25537550532245,0.0
-24.0,-30.48409421321224,0.0
-22.400000000000002,-27.712812921102035,0.0
-20.8,-24.941531628991832,0.0
-19.200000000000003,-22.17025033688163,0.0
-17.6,-19.398969044771427,0.0
-16.0,-16.627687752661224,0.0
-14.4,-13.856406460551018,0.0
-12.8,-11.085125168440815,0.0
-11.200000000000001,-8.313843876330612,0.0
-9.600000000000001,-5.542562584220407,0.0
-8.0,-2.7712812921102037,0.0
-6.4,0.0,0.0
-4.800000000000001,2.7712812921102037,0.0
-3.2,5.542562584220407,0.0
-1.6,8.313843876330612,0.0
0.0,11.085125168440815,0.0
1.6,13.856406460551018,0.0
3.2,16.627687752661224,0.0
4.800000000000001,19.398969044771427,0.0
6.4,22.17025033688163,0.0
8.0,24.941531628991832,0.0
9.600000000000001,27.712812921102035,0.0
11.200000000000001,30.48409421321224,0.0
12.8,33.25537550532245,0.0
14.4,36.02665679743265,0.0
16.0,38.79793808954285,0.0
17.6,41.569219381653056,0.0
19.200000000000003,44.34050067376326,0.0
-27.200000000000003,-41.569219381653056,0.0
-25.6,-38.79793808954285,0.0
-24.0,-36.02665679743265,0.0
-22.400000000000002,-33.25537550532245,0.0
-20.8,-30.48409421321224,0.0
-19.200000000000003,-27.712812921102035,0.0
-17.6,-24.941531628991832,0.0
-16.0,-22.17025033688163,0.0
-14.4,-19.398969044771427,0.0
-12.8,-16.627687752661224,0.0
-11.200000000000001,-13.856406460551018,0.0
-9.600000000000001,-11.085125168440815,0.0
-8.0,-8.313843876330612,0.0
-6.4,-5.542562584220407,0.0
-4.800000000000001,-2.7712812921102037,0.0
-3.2,0.0,0.0
-1.6,2.7712812921102037,0.0
0.0,5.542562584220407,0.0
1.6,8.313843876330612,0.0
3.2,11.085125168440815,0.0
4.800000000000001,13.856406460551018,0.0
6.4,16.627687752661224,0.0
8.0,19.398969044771427,0.0
9.600000000000001,22.17025033688163,0.0
11.200000000000001,24.941531628991832,0.0
12.8,27.712812921102035,0.0
14.4,30.48409421321224,0.0
16.0,33.25537550532245,0.0
17.6,36.02665679743265,0.0
19.200000000000003,38.79793808954285,0.0
20.8,41.569219381653056,0.0
22.400000000000002,44.34050067376326,0.0
-25.6,-44.34050067376326,0.0
-24.0,-41.569219381653056,0.0
-22.400000000000002,-38.79793808954285,0.0
-20.8,-36.02665679743265,0.0
-19.200000000000003,-33.25537550532245,0.0
-17.6,-30.48409421321224,0.0
-16.0,-27.712812921102035,0.0
-14.4,-24.941531628991832,0.0
-12.8,-22.17025033688163,0.0
-11.200000000000001,-19.398969044771427,0.0
-9.600000000000001,-16.627687752661224,0.0
-8.0,-13.856406460551018,0.0
-6.4,-11.085125168440815,0.0
-4.800000000000001,-8.313843876330612,0.0
-3.2,-5.542562584220407,0.0
-1.6,-2.7712812921102037,0.0
0.0,0.0,0.0
1.6,2.7712812921102037,0.0
3.2,5.542562584220407,0.0
4.800000000000001,8.313843876330612,0.0
6.4,11.085125168440815,0.0
8.0,13.856406460551018,0.0
9.600000000000001,16.627687752661224,0.0
11.200000000000001,19.398969044771427,0.0
12.8,22.17025033688163,0.0
14.4,24.941531628991832,0.0
16.0,27.712812921102035,0.0
17.6,30.48409421321224,0.0
19.200000000000003,33.25537550532245,0.0
20.8,36.02665679743265,0.0
22.400000000000002,38.79793808954285,0.0
24.0,41.569219381653056,0.0
25.6,44.34050067376326,0.0
-22.400000000000002,-44.34050067376326,0.0
-20.8,-41.569219381653056,0.0
-19.200000000000003,-38.79793808954285,0.0
-17.6,-36.02665679743265,0.0
-16.0,-33.25537550532245,0.0
-14.4,-30.48409421321224,0.0
-12.8,-27.712812921102035,0.0
-11.200000000000001,-24.941531628991832,0.0
-9.600000000000001,-22.17025033688163,0.0
-8.0,-19.398969044771427,0.0
-6.4,-16.627687752661224,0.0
-4.800000000000001,-13.856406460551018,0.0
-3.2,-11.085125168440815,0.0
-1.6,-8.313843876330612,0.0
0.0,-5.542562584220407,0.0
1.6,-2.7712812921102037,0.0
3.2,0.0,0.0
4.800000000000001,2.7712812921102037,0.0
6.4,5.542562584220407,0.0
8.0,8.313843876330612,0.0
9.600000000000001,11.085125168440815,0.0
11.200000000000001,13.856406460551018,0.0
12.8,16.627687752661224,0.0
14.4,19.398969044771427,0.0
16.0,22.17025033688163,0.0
17.6,24.941531628991832,0.0
19.200000000000003,27.712812921102035,0.0
20.8,30.48409421321224,0.0
22.400000000000002,33.25537550532245,0.0
24.0,36.02665679743265,0.0
25.6,38.79793808954285,0.0
27.200000000000003,41.569219381653056,0.0
-19.200000000000003,-44.34050067376326,0.0
-17.6,-41.569219381653056,0.0
-16.0,-38.79793808954285,0.0
-14.4,-36.02665679743265,0.0
-12.8,-33.25537550532245,0.0
-11.200000000000001,-30.48409421321224,0.0
-9.600000000000001,-27.712812921102035,0.0
-8.0,-24.941531628991832,0.0
-6.4,-22.17025033688163,0.0
-4.800000000000001,-19.398969044771427,0.0
-3.2,-16.627687752661224,0.0
-1.6,-13.856406460551018,0.0
0.0,-11.085125168440815,0.0
1.6,-8.313843876330612,0.0
3.2,-5.542562584220407,0.0
4.800000000000001,-2.7712812921102037,0.0
6.4,0.0,0.0
8.0,2.7712812921102037,0.0
9.600000000000001,5.542562584220407,0.0
11.200000000000001,8.313843876330612,0.0
12.8,11.085125168440815,0.0
14.4,13.856406460551018,0.0
16.0,16.627687752661224,0.0
17.6,19.398969044771427,0.0
19.200000000000003,22.17025033688163,0.0
20.8,24.941531628991832,0.0
22.400000000000002,27.712812921102035,0.0
24.0,30.48409421321224,0.0
25.6,33.25537550532245,0.0
27.200000000000003,36.02665679743265,0.0
28.8,38.79793808954285,0.0
-16.0,-44.34050067376326,0.0
-14.4,-41.569219381653056,0.0
-12.8,-38.79793808954285,0.0
-11.200000000000001,-36.02665679743265,0.0
-9.600000000000001,-33.25537550532245,0.0
-8.0,-30.48409421321224,0.0
-6.4,-27.712812921102035,0.0
-4.800000000000001,-24.941531628991832,0.0
-3.2,-22.17025033688163,0.0
-1.6,-19.398969044771427,0.0
0.0,-16.627687752661224,0.0
1.6,-13.856406460551018,0.0
3.2,-11.085125168440815,0.0
4.800000000000001,-8.313843876330612,0.0
6.4,-5.542562584220407,0.0
8.0,-2.7712812921102037,0.0
9.600000000000001,0.0,0.0
11.200000000000001,2.7712812921102037,0.0
12.8,5.542562584220407,0.0
14.4,8.313843876330612,0.0
16.0,11.085125168440815,0.0
17.6,13.856406460551018,0.0
19.200000000000003,16.627687752661224,0.0
20.8,19.398969044771427,0.0
22.400000000000002,22.17025033688163,0.0
24.0,24.941531628991832,0.0
25.6,27.712812921102035,0.0
27.200000000000003,30.48409421321224,0.0
28.8,33.25537550532245,0.0
30.400000000000002,36.02665679743265,0.0
-12.8,-44.34050067376326,0.0
-11.200000000000001,-41.569219381653056,0.0
-9.600000000000001,-38.79793808954285,0.0
-8.0,-36.02665679743265,0.0
-6.4,-33.25537550532245,0.0
-4.800000000000001,-30.48409421321224,0.0
-3.2,-27.712812921102035,0.0
-1.6,-24.941531628991832,0.0
0.0,-22.17025033688163,0.0
1.6,-19.398969044771427,0.0
3.2,-16.627687752661224,0.0
4.800000000000001,-13.856406460551018,0.0
6.4,-11.085125168440815,0.0
8.0,-8.313843876330612,0.0
9.600000000000001,-5.542562584220407,0.0
11.200000000000001,-2.7712812921102037,0.0
12.8,0.0,0.0
14.4,2.7712812921102037,0.0
16.0,5.542562584220407,0.0
17.6,8.313843876330612,0.0
19.200000000000003,11.085125168440815,0.0
20.8,13.856406460551018,0.0
22.400000000000002,16.627687752661224,0.0
24.0,19.398969044771427,0.0
25.6,22.17025033688163,0.0
27.200000000000003,24.941531628991832,0.0
28.8,27.712812921102035,0.0
30.400000000000002,30.48409421321224,0.0
32.0,33.25537550532245,0.0
-9.600000000000001,-44.34050067376326,0.0
-8.0,-41.569219381653056,0.0
-6.4,-38.79793808954285,0.0
-4.800000000000001,-36.02665679743265,0.0
-3.2,-33.25537550532245,0.0
-1.6,-30.48409421321224,0.0
0.0,-27.712812921102035,0.0
1.6,-24.941531628991832,0.0
3.2,-22.17025033688163,0.0
4.800000000000001,-19.398969044771427,0.0
6.4,-16.627687752661224,0.0
8.0,-13.856406460551018,0.0
9.600000000000001,-11.085125168440815,0.0
11.200000000000001,-8.313843876330612,0.0
12.8,-5.542562584220407,0.0
14.4,-2.7712812921102037,0.0
16.0,0.0,0.0
17.6,2.7712812921102037,0.0
19.200000000000003,5.542562584220407,0.0
20.8,8.313843876330612,0.0
22.400000000000002,11.085125168440815,0.0
24.0,13.856406460551018,0.0
25.6,16.627687752661224,0.0
27.200000000000003,19.398969044771427,0.0
28.8,22.17025033688163,0.0
30.400000000000002,24.941531628991832,0.0
32.0,27.712812921102035,0.0
33.6,30.48409421321224,0.0
-6.4,-44.34050067376326,0.0
-4.800000000000001,-41.569219381653056,0.0
-3.2,-38.79793808954285,0.0
-1.6,-36.02665679743265,0.0
0.0,-33.25537550532245,0.0
1.6,-30.48409421321224,0.0
3.2,-27.712812921102035,0.0
4.800000000000001,-24.941531628991832,0.0
6.4,-22.17025033688163,0.0
8.0,-19.398969044771427,0.0
9.600000000000001,-16.627687752661224,0.0
11.200000000000001,-13.856406460551018,0.0
12.8,-11.085125168440815,0.0
14.4,-8.313843876330612,0.0
16.0,-5.542562584220407,0.0
17.6,-2.7712812921102037,0.0
19.200000000000003,0.0,0.0
20.8,2.7712812921102037,0.0
22.400000000000002,5.542562584220407,0.0
24.0,8.313843876330612,0.0
25.6,11.085125168440815,0.0
27.200000000000003,13.856406460551018,0.0
28.8,16.627687752661224,0.0
30.400000000000002,19.398969044771427,0.0
32.0,22.17025033688163,0.0
33.6,24.941531628991832,0.0
35.2,27.712812921102035,0.0
-3.2,-44.34050067376326,0.0
-1.6,-41.569219381653056,0.0
0.0,-38.79793808954285,0.0
1.6,-36.02665679743265,0.0
3.2,-33.25537550532245,0.0
4.800000000000001,-30.48409421321224,0.0
6.4,-27.712812921102035,0.0
8.0,-24.941531628991832,0.0
9.600000000000001,-22.17025033688163,0.0
11.200000000000001,-19.398969044771427,0.0
12.8,-16.627687752661224,0.0
14.4,-13.856406460551018,0.0
16.0,-11.085125168440815,0.0
17.6,-8.313843876330612,0.0
19.200000000000003,-5.542562584220407,0.0
20.8,-2.7712812921102037,0.0
22.400000000000002,0.0,0.0
24.0,2.7712812921102037,0.0
25.6,5.542562584220407,0.0
27.200000000000003,8.313843876330612,0.0
28.8,11.085125168440815,0.0
30.400000000000002,13.856406460551018,0.0
32.0,16.627687752661224,0.0
33.6,19.398969044771427,0.0
35.2,22.17025033688163,0.0
36.800000000000004,24.941531628991832,0.0
0.0,-44.34050067376326,0.0
1.6,-41.569219381653056,0.0
3.2,-38.79793808954285,0.0
4.800000000000001,-36.02665679743265,0.0
6.4,-33.25537550532245,0.0
8.0,-30.48409421321224,0.0
9.600000000000001,-27.712812921102035,0.0
11.200000000000001,-24.941531628991832,0.0
12.8,-22.17025033688163,0.0
14.4,-19.398969044771427,0.0
16.0,-16.627687752661224,0.0
17.6,-13.856406460551018,0.0
19.200000000000003,-11.085125168440815,0.0
20.8,-8.313843876330612,0.0
22.400000000000002,-5.542562584220407,0.0
24.0,-2.7712812921102037,0.0
25.6,0.0,0.0
27.200000000000003,2.7712812921102037,0.0
28.8,5.542562584220407,0.0
30.400000000000002,8.313843876330612,0.0
32.0,11.085125168440815,0.0
33.6,13.856406460551018,0.0
35.2,16.627687752661224,0.0
36.800000000000004,19.398969044771427,0.0
38.400000000000006,22.17025033688163,0.0
3.2,-44.34050067376326,0.0
4.800000000000001,-41.569219381653056,0.0
6.4,-38.79793808954285,0.0
8.0,-36.02665679743265,0.0
9.600000000000001,-33.25537550532245,0.0
11.200000000000001,-30.48409421321224,0.0
12.8,-27.712812921102035,0.0
14.4,-24.941531628991832,0.0
16.0,-22.17025033688163,0.0
17.6,-19.398969044771427,0.0
19.200000000000003,-16.627687752661224,0.0
20.8,-13.856406460551018,0.0
22.400000000000002,-11.085125168440815,0.0
24.0,-8.313843876330612,0.0
25.6,-5.542562584220407,0.0
27.200000000000003,-2.7712812921102037,0.0
28.8,0.0,0.0
30.400000000000002,2.7712812921102037,0.0
32.0,5.542562584220407,0.0
33.6,8.313843876330612,0.0
35.2,11.085125168440815,0.0
36.800000000000004,13.856406460551018,0.0
38.400000000000006,16.627687752661224,0.0
40.0,19.398969044771427,0.0
6.4,-44.34050067376326,0.0
8.0,-41.569219381653056,0.0
9.600000000000001,-38.79793808954285,0.0
11.200000000000001,-36.02665679743265,0.0
12.8,-33.25537550532245,0.0
14.4,-30.48409421321224,0.0
16.0,-27.712812921102035,0.0
17.6,-24.941531628991832,0.0
19.200000000000003,-22.17025033688163,0.0
20.8,-19.398969044771427,0.0
22.400000000000002,-16.627687752661224,0.0
24.0,-13.856406460551018,0.0
25.6,-11.085125168440815,0.0
27.200000000000003,-8.313843876330612,0.0
28.8,-5.542562584220407,0.0
30.400000000000002,-2.7712812921102037,0.0
32.0,0.0,0.0
33.6,2.7712812921102037,0.0
35.2,5.542562584220407,0.0
36.800000000000004,8.313843876330612,0.0
38.400000000000006,11.085125168440815,0.0
40.0,13.856406460551018,0.0
41.6,16.627687752661224,0.0
9.600000000000001,-44.34050067376326,0.0
11.200000000000001,-41.569219381653056,0.0
12.8,-38.79793808954285,0.0
14.4,-36.02665679743265,0.0
16.0,-33.25537550532245,0.0
17.6,-30.48409421321224,0.0
19.200000000000003,-27.712812921102035,0.0
20.8,-24.941531628991832,0.0
22.400000000000002,-22.17025033688163,0.0
24.0,-19.398969044771427,0.0
25.6,-16.627687752661224,0.0
27.200000000000003,-13.856406460551018,0.0
28.8,-11.085125168440815,0.0
30.400000000000002,-8.313843876330612,0.0
32.0,-5.542562584220407,0.0
33.6,-2.7712812921102037,0.0
35.2,0.0,0.0
36.800000000000004,2.7712812921102037,0.0
38.400000000000006,5.542562584220407,0.0
40.0,8.313843876330612,0.0
41.6,11.085125168440815,0.0
43.2,13.856406460551018,0.0
12.8,-44.34050067376326,0.0
14.4,-41.569219381653056,0.0
16.0,-38.79793808954285,0.0
17.6,-36.02665679743265,0.0
19.200000000000003,-33.25537550532245,0.0
20.8,-30.48409421321224,0.0
22.400000000000002,-27.712812921102035,0.0
24.0,-24.941531628991832,0.0
25.6,-22.17025033688163,0.0
27.200000000000003,-19.398969044771427,0.0
28.8,-16.627687752661224,0.0
30.400000000000002,-13.856406460551018,0.0
32.0,-11.085125168440815,0.0
33.6,-8.313843876330612,0.0
35.2,-5.542562584220407,0.0
36.800000000000004,-2.7712812921102037,0.0
38.400000000000006,0.0,0.0
40.0,2.7712812921102037,0.0
41.6,5.542562584220407,0.0
43.2,8.313843876330612,0.0
44.800000000000004,11.085125168440815,0.0
16.0,-44.34050067376326,0.0
17.6,-41.569219381653056,0.0
19.200000000000003,-38.79793808954285,0.0
20.8,-36.02665679743265,0.0
22.400000000000002,-33.25537550532245,0.0
24.0,-30.48409421321224,0.0
25.6,-27.712812921102035,0.0
27.200000000000003,-24.941531628991832,0.0
28.8,-22.17025033688163,0.0
30.400000000000002,-19.398969044771427,0.0
32.0,-16.627687752661224,0.0
33.6,-13.856406460551018,0.0
35.2,-11.085125168440815,0.0
36.800000000000004,-8.313843876330612,0.0
38.400000000000006,-5.542562584220407,0.0
40.0,-2.7712812921102037,0.0
41.6,0.0,0.0
43.2,2.7712812921102037,0.0
44.800000000000004,5.542562584220407,0.0
46.400000000000006,8.313843876330612,0.0
19.200000000000003,-44.34050067376326,0.0
20.8,-41.569219381653056,0.0
